Kata / Kalimat,Sentimen Data Asli,Sentimen Data Prediksi
terima kasih garuda muda perjuangamu kerja keras pantang serah semangat tanam bangga hati indonesia,positif,positif
alhamdulillah tinggal besok kerja minum kopi galon,positif,positif
meme tebar wkwkw,positif,negatif
congratulations indonesiaa bangga lihat main mental tim nasional kualitas trimakasih latih shin ty teman main juang proses keep goin,positif,positif
bangga good job king indonesia,positif,positif
oleng undur tidur sebentar,negatif,positif
wts tiket tim nasional indonesia vs fiilipina west garuda merch alas jual kasih cuti minat dm ya,positif,positif
towell senang bukti serang indonesia gagal semuaa tertawa sih,negatif,negatif
alhamdulillah,positif,positif
gol anulir sty yellow card rizky ridho red card arhan own goal garuda muda jatuh didiemin gilir langsung bunyiin peluit wasit adil whatever happens sempat juara lolos olimpiade,negatif,positif
yah,positif,positif
rizky rindho tendang bola redcard,negatif,negatif
gamenang seengganya best goal donggggggg yuk voteee,positif,positif
halah wasit alergi kartu kocakk,negatif,negatif
malam minggu tebar menang pasti,positif,positif
umpan crossing hubner sananta lepas sananta offside ya beneran empuk banget sananta manfaat peluangpeluang gawang konversi gol,positif,positif
kemarin indonesia kalah korea afc cup gilir tim uber indonesia kalah korea,negatif,negatif
fullsenyum,positif,positif
catat nama claudia scheunemann,positif,positif
sty tim nasional sejarah lolos piala asia sejarah lolos babak sejarah lolos babak sejarah kaki indonesia olimpiade sederhana towel suka,negatif,negatif
terima kasih tim nasional indonesia chattan mas crush,negatif,positif
good job siiii kejar juara,positif,positif
proud of tim nasional proud of indonesia keren emang dasar berat belah piala asia,positif,positif
skenario tim nasional indonesia lolos babak kualifikasi piala dunia moga lolos aamiiin,negatif,negatif
tinggal tidur takut nontonin live bangun subuh habis subuh langsung cek tw alhamdulillah menang tim inaa,negatif,positif
indonesia kempunan layak pentas final lepas tewas tangan uzbekistan capai skuad garuda muda pentas piala asia buka mata ramai perhati bola sepak tempat dek rana cemerlang anak buah shin taeyong,negatif,negatif
jelang hadap tim nasional indonesia irak kirim delegasi jakarta cek rumput sugbkhotel,negatif,positif
yha duduk sama yak set piece idn sgp,positif,positif
trans selamat ya indonesia skill main dukung nih bikin kewalan ya moga top asia negara latih sty ya nih fans sepak bola hati sentuh dukung sweet banget oppa,positif,positif
kerja perintah lawak hahahaha,positif,positif
prediksi taut live streaming fulham vs manchester city arsenal geser cityzens ogah kendur,negatif,positif
expresi menang nobar lokasi towel ernando hubner arkhan arhan,negatif,positif
prediksi togel oregon april angka main colok bebas d amp top d top d top d shio tikus angka twins,positif,positif
informasi kontak panitia olimpiade paris kirim file national anthem indonesia stanza,positif,negatif
wasit bangsat shen yinhao red card rizky ridho kartu merah piala usia arhan struick iffside iraq uzbek nathan kelly sananta,negatif,negatif
aet korea selatan indonesia komang teguh gbd y lee s bb jeong rafael struick rafael struick indonesia menang babak adu penalti alhamdulillah indonesia lolos semifinal,negatif,positif
sih wasit pilih bener,negatif,negatif
witan kena akumulasi kartu kuning buat main lawan iraq manajer tim nasional buka main tambah gabung tim nasional,negatif,negatif
jepang juara save pinalti jepang liga hasil potensi main jepang amp uzbek bukti,positif,positif
bingung masyarakat lurus,positif,positif
yu yu yu yu yu,positif,positif
garuda calling pasu panggil latih shin tae yong fifa match juni,negatif,positif
moga menang malam gairah bina sepak bola usia muda momentum,negatif,positif
terima kasih garuda muda bangga,positif,positif
indonesia menang,negatif,positif
dek uzbek ohh indonesia,positif,positif
berita bolberita bola baru situs beting taut,negatif,negatif
main buruk kiky champions league syarifah salma t tiktok straming tanding liga ps brt subang vs farmel fc persibo vs persikota taut streaming bio,negatif,positif
pecah telor,positif,positif
gilaa reva detik gol,positif,positif
panglima tni tindak kstp negara negara,positif,positif
thank tim nasional indonesia juang semifinal maju bikin bangga banget yall did that very well keep it up guys wasit jck,positif,positif
tidur wswasite dholim,positif,positif
indonesia masuk bedar asiaaaa tuhhh indonesia vs korea menang indonesia,negatif,positif
tenang rebut juara kendorkan semangattt target olimpiade capai titik tinggi main olimpiade yok yok indonesia,negatif,positif
nepikeun ka nafsu dahar ge ai indonesia eleh mah alabatan ronde pamajikan leuleus ngaroroncod na ge gusti,positif,negatif
syukur,positif,positif
medan tempuh pj gubernur bahtiar korban dampak banjir jajar perintah hadir korban guinea,negatif,negatif
bangun kaget lihat tweet indonesia menang lawan korsel,negatif,positif
oh dienakin kakak kelas netflix,positif,positif
terimakasih punggawa garuda indonesia baik,positif,positif
garis var tolong lihatin tangan main uzbekistan nomor rela gol indonesia anulir,positif,positif
pas ya,positif,positif
kuis tebak skor piala asia guinea indonesia syarat follow like amp rt tweet tulis tebak kolom komentar contoh ft irak indonesia hadiah k orang menang,positif,positif
crypto nft secawards artistaasiatico partaikebangkitanbangsa vivaelpoderpopular wtcfinal promobca pelakor sr shimmer danakaget timnasday syifa chickanarkoba,positif,positif
indonesia vs uzbekistan cek var penalti langgar cek var goal indonesia anggap offside semangat tim nasional balik wasit tai,negatif,negatif
semangatt tim nasional,negatif,negatif
terima kasih juang,positif,positif
mamam uzbek uzbek,negatif,positif
assalamualaikum semifinal,positif,positif
ko main arah mana kasihan rakyat korban,negatif,negatif
terimakasih indonesiakalian,positif,positif
bissmillah moga,positif,positif
siasia begadang alhamdulillah assalamualaikum semifinal,positif,positif
naturalisasi nathan tjoe a on main bek swansea jin hereenven sulap sty dlp handal lapis dlp tim nasional senior haye nathan klok,negatif,positif
patut curiga jaksa,negatif,negatif
yuk beib main main stasiunplay akuh taut join,positif,positif
skuad tim nasional indonesia hadap singapura selasa stadion madya gelora bung karno submit tiket gratis submit jumpa tribun yaaa,positif,positif
shin tae yong piala aff raih piala asia afc piala dunia fifa juang,negatif,negatif
lagu emang nathan banget hmm,positif,positif
lihat si putih lemah,positif,negatif
hubner rebut peringkat yuk,positif,positif
marselino ferdinan tuding egois lapang latih rekan,positif,positif
lampung ngidupin kembang api wkwkw,positif,negatif
sia begadang nonton tim nasional pagi pagi rapat pribadi bangga pancapain puas nontonnya terima kasih ngomong ngomong latih umur hidup ya,negatif,positif
sungguh resah oknum jagung,negatif,negatif
wts sale tiket tim nasional indonesia vs iraq section upper tix only k tiket pribadi an jual bentrok jadwal uji sidang serious buyer only,negatif,positif
kali judul drama korea drama adu pinalti haiiiii semifinal,negatif,negatif
duh taut live streaming voli avc challenge cup wanita tim nasional voli putri indonesia vs kazakhstan live streamingnya,negatif,positif
nama jodoh indonesia,positif,positif
alhamdulillah sejarah cipta kali masuk semifinal piala asia lepas jasa politikus pansos,positif,positif
good game rekk tenang ketemu israel next game syemangatss,positif,positif
hadeh saat tim nasional indonesia capekcapek ngangkat indonesia biar kenal eh oknum rusak,negatif,negatif
mentalitas baja ilham rio fahmi tembus senior mentalitas ilham rio fahmi bek persija jakarta ambisi tembus indonesia senior rampung tunai tugas tim,positif,positif
turnamen turnamen toulon turnamen temu tim nasional usia muda turnamen indonesia pilih mesir undur,negatif,positif
dukung tim nasional indonesia henti nyanyi garuda juara credit yona hernanda tik,negatif,positif
nyala abang,positif,positif
raihkemenangan terbesrmu spesial inislot jackpot limpah,positif,positif
menang tangis bahagia kalah tangis bangga tidak apa bang apa hasil sayang tim nasional semangat rebut juara nya,negatif,negatif
piala aff resmi gelar surabaya piala aff solo piala aff gulir tanggal juni juli stadion manah lapang sriwedari solo,positif,positif
latih perdana jelang kualifikasi piala dunia main tim nasional indonesia hadir,positif,positif
jahat banget wasit nya tidak jadi goal cantik banget goal nya indonesia ferrari arhan batal offside semangat ya tim nasional optimis kalah uzbek,negatif,negatif
beneran wasit dapet dosa mending bacain tweet ngaconya rangorang dapet banget lucu,positif,positif
rumput madya bagusbagus tuh h pakai konser gelora bung karno ya siap,positif,positif
nobar gelora bung karno,positif,positif
apresiasi semi final puluh kualifikasi grup sabar nunggu matang tim nasional,positif,positif
selamat bangga tim nasional indonesia semangat raih juara iii hujat main mending kasih koreksi amp evaluasi dukung main nusa bangsa,positif,positif
last but not least terima kasih juang garuda muda semangat,positif,positif
indonesia vs var indonesia kalah wasit var main x menang x fair play kalah x var wasit kartu merah main lawan letoy pura kalah adu badan alias fair play bikin goal anggap offside,negatif,negatif
pilih pergi tenang azizah shalsa tengkar arhan pratama,negatif,positif
menpora dito ariotedjo kabar baru naturalisasi main turun rumput stadion utama gelora karno sugbk jakarta,positif,positif
moga indonesia juara semangat tim nasional,positif,positif
cek nayaka batik setel kebaya polos modern oneset kavita jemma outfit kondangan wanita set kebaya wisuda ootd cewek kini amara set harga rupiah,positif,positif
bangga banget tim nasional indonesia latih shin taeyong rasa hormat proud juang titik habis keren banget,negatif,positif
uzbek main emang bagus wasit bantuin bersihin jalan final main kena mental serapih match but its oke ketemu uzbek semifinal bangga proudddd,positif,positif
sudut kamera ambil sejajar kaki main uzb garis tanda offside kamera gol korea anulir kemarin tanda garis offside nya,negatif,negatif
bang jay absen bela tim nasional indonesia lawan tanzania irak fokus venezia tidak apa bang jay semangat yak biar serie a,negatif,positif
chance lolos olimpade semangat,negatif,positif
emang bener taut join,positif,positif
wts tiket tim nasional indonesia vs filipina upper section tiket nama dm detail ticket getcontact bank nama,negatif,negatif
tim nasional indonesia trophy bawah asuh latih sty cinta sepakbola tanah air bangga capai skuat garuda cipta sejarah tinggal tunggu terima kasih tum jajar,positif,positif
menang capai menang tempur ucap selamat an pesertayou did it,positif,positif
prediksi togel macau malam mei angka main colok bebas d amp top d top d top d shio kambing twins,positif,positif
wts tiket tanding indonesia vs irak jam cat tribun gelora bung karno jual tidak jadi nonton informasi harga dm only serious buyer bayar saat kirim jakarta bekas,positif,negatif
ft fc dallas austin fc calon punggawa maarten paes buah selamat salah satu stats via djarum,positif,negatif
tiket tim nasional ready upper garuda indonesia vs iraq irak ya harga normal biaya ktiket pakai nama tiket resmi amp asli bayar bank nya testi cek profil dm wts wtb informasi gelora bung karno,negatif,negatif
hei kembang lampau target untung moga kembang sukses ya we proud of,positif,positif
lepas apa hasil bangga makasii juang habis istirahat sehat,positif,positif
sepakbola asia tenggara ekonomi bisnis dunia thun bicara byak dunia khusus,positif,positif
arho apresiasi istri apresiasiin,positif,positif
serang tim nasional marselino ferdinan rafael struick ekspresi menang lawan korea selatan babak adu penalti marselino tim nasional indonesia tembus olimpiade,negatif,negatif
womens afc asi cup fase grup a laga ft indonesia vs korea utara gol il son choe ryu mi kang un hyang ro semangat skuad garuda pertiwi pssi,positif,positif
lambat selamat menang tim nasional indonesia selamat tim nasional indonesia laju semifinal afc haru bangga,positif,positif
its okayyy semangat garuda muda rebut juara,negatif,positif
main abroad tim nasional indonesia kontrak klub habis mana musim,negatif,negatif
rasa hormat dik indonesia jalan sempat peluang dik uzbek emang unggul beberapa sisi lawan khabib orang emang bnyak gimmick gwaenchana dik indonesia shibal saekiya wasitwasitnya,negatif,positif
duga,positif,positif
tuju pria arab lemah letoy lapang kumpul sinikena belai ambruk anyiinggg,negatif,positif
final piala asia jepang sabet gelar juara menang dramatis uzbekistan,positif,positif
ft indonesia uzbekistan gagal masuk final rebut tiga,negatif,positif
kemaren var si tanding playoff olimpiade loh si hubner kemane,positif,negatif
catat sepakbola play off olimpiade tim nasional garuda muda harap,negatif,positif
akur banget tum pssi latih sty kencan double,positif,positif
hiruk pikuknya kaos tim nasional bawa berkah ngantar indonesia semifinal,negatif,positif
pecah x nya mj mantapp,positif,positif
shen yinhao tytydnya tendang emosi jiwa,negatif,negatif
main main,positif,positif
bismillah next indonesia menang lawan jepang tembus finall juara,positif,positif
guysss nyari tiket grey tiket serah tanggal,negatif,positif
full senyum alhamdulillah lolos semifinal,positif,positif
prank var senang unggul ehg bobol si towel tertawa nih optimis,positif,positif
erick thohir harap tim nasional indonesia tampil piala dunia,negatif,negatif
cepat makan hoax nih denger,negatif,positif
naturalisasi main turun main pssi cari lawanlawan kuat salah lawan kuat hadap tim nasional indonesia tim nasional argentina,negatif,negatif
kagum pagi jabani tim nasional indonesia,negatif,positif
wasit main adil uzbekistan main bagus banget presingnya kuat tahan kokoh susah gapai berkat wasit anjj kurang kagum uzbekistan emang main apik banget kelompok usia kenal tim timbang,negatif,negatif
jepang keren banget sattt unggul tidak pakai drama guling guling very proud and congratulations the menang in,negatif,positif
usbeek jatuh mulu lukh lagu,negatif,negatif
afc asi cup semifinal japaniraq goal scorer ryotaro arak,positif,positif
sagil siswa sd kerinci tinggi capai meter umur nih rekrut main basket latih keeper tim nasional garuda,positif,positif
aff cup main kunci absen ekspektasi sob,positif,positif
wasit malam,negatif,negatif
ya sty bilang target tim nasional alhamdulillah kasih rejeki semifinal gagal masuk final ya legowo,positif,positif
hasil piala asia indonesia vs uzbekistan babak semi final,positif,positif
inti revisi uu jagung,positif,positif
rejeki nya proses,positif,positif
kasihan ya cewek uzbek cowonya loyooo kena angin langsung meletoy atlitttttt,positif,negatif
tim nasional indonesia tambah main naturalisasi hadap irak filipina,negatif,positif
jumar berkah full senyum,positif,positif
indonesia kalah uzbekistan ferrari curiga janggal gol anulir,negatif,negatif
klub fc groningen hasil promosi kasta tinggi liga belanda eredivisie musim fc groningen klub main tim nasional indonesia ragnar oratmangoen pinjam klub eredivisie fortuna sittard,positif,positif
jay idzes nyekor how lucky we are have him akan jayadi pahlawan tiket promosi venezia como fc vs cosenza gol fifa,positif,positif
marteen paes main kualifikasi piala dunia,positif,positif
momen tegang adu penalti tim nasional vs korea selatan,negatif,negatif
tidur guys,positif,positif
mental lawan guinea padat jadwal tanding piala asia,negatif,negatif
alhamdulillah ya allah selamat adek maaf nonton mato lengket congratulations boys congratulations latih shin tae yong st in history hebat ya bang towel diem latih taeyong borahae kim taehyung borahae,positif,positif
terima kasih juang,positif,positif
alhamdulillah yaa allah tuntas adu pinaltinya puas nontonnya detak jantung normal,positif,positif
bubaaarbubaaar,positif,positif
tegak kepala api olimpiade nyala rebut peringkat esok kamis bahagia garuda muda dukung semangat tegak kepala,positif,positif
benerin liga bina usia nya malu one season wonder,negatif,positif
tim nasional bangga hadap guinea fakta timtim kalah indonesia,negatif,negatif
kepala witan sulaeman darah kalah tim nasional indonesia guinea jahit tampil witan sulaeman malam lawan guinea gtgt,negatif,negatif
jelang laga tim nasional indonesia vs irak kampuaya latih bukit yakob pantai,positif,positif
selamaattt tim nasional indonesia ku tercintaaa,negatif,positif
semangat garudakuu terimakasih juang patah semangat nyala terbang tinggu garuda,positif,positif
guys beli tiket indonesia vs iraq orang ditawarin,positif,positif
womens afc asi cup fase grup a laga ft indonesia vs korea utara gol il son choe ryu mi kang un hyang ro semangat skuad garuda pertiwi pssi,positif,positif
naruh bawang,positif,positif
uzbek clean sheet ggwpnt,positif,negatif
ending bagong negara konoha,positif,positif
buset main uzbekistan janji koma anjiirrrr,positif,positif
terimakasi juang sepakbola indonesia ayo semangat big hug all,positif,positif
semangat garuda muda semangat dukung kaki setia dukung,positif,positif
jelang lawan guinea witan sulaeman mohon netizen dukung tim nasional indonesia baca lengkap,positif,positif
mari dukung,positif,positif
mimpi sepak bola korea laju olimpiade kali untun blok magis shin taeyong hilang gelembung tulis reporter park soongyu,negatif,negatif
sudah sedih yuk tidur yuk malam bat nih siang loohh lupa sholat isya baca almulk yah good malam moga tidur nyenyak mimpi indah aamiin,positif,positif
prediksi togel japaneven mei angka main colok bebas d amp top d top d top d shio kelinci twins,positif,positif
lihat main uzb ngomong ngomong piala oscar alias banyak akting cok,positif,negatif
doha ya stade leo lagrange markas klub as poissy bangkrut latih lapang qatar university milik kualitas wahid,positif,positif
nt bro,positif,positif
pikir main ekspektasiku tuh tim nasional senggol titan gui jatuh eh balik bangga banget pokok,negatif,negatif
langsung kena mental bgsttt uzbekistan cetak gol,positif,positif
arhan one of the best player just fokus the next round bangga team indonesia pudar,positif,positif
dompet isi tebal kasih refil,negatif,positif
keren support abisss nih istri pratama arhan,positif,positif
fokus target dekat tanggal juni bismillah round kualifikasi piala dunia fifa nathan witan shin tae yong dewangga,negatif,positif
tonton ya arhan azizah,negatif,positif
senang rakyat indonesia adq mahkluk kecewa alas main menang adu pinalti bangga,positif,positif
ingatt dpr sumber aspirasi rakyat bawa,negatif,negatif
ucap spesial presiden fifa erick thohir raya ulang tahun syarifah salma tiktok,positif,positif
main uzbek spek eropa main asia cakep banget kasih bola main bagus cocok banget si rafa ikut lawan nyerang wasit bikin gregetan skip wasit yok indonesia juara yukk bismillah,positif,negatif
wayahe moleh,positif,positif
indonesia s nya semi final cuy,positif,positif
warga indonesia kasih free uang giveaway tebak skor edisi pas hubner main kemarin praolimpic giveaway nuyul gilir menang giveaway ngereport bikin akun orang suspend lucu,positif,positif
did great guys masuk semifinal prestasi maju bangga lepas wasit jancok drama tai hebat sempat perebutin ticket olimpiade semangat,negatif,positif
yah,positif,positif
tim cerah baik mudah puas starsyndrome giur dm selebgram indonesia numpang tenar dewangga marselino bagas fifa,positif,positif
ivar jenner joins indonesia elkan baggott,positif,positif
murah rupiah ribu mudah beli tiket tanding tim nasional indonesia vs filipina,positif,positif
thank boys terimakasih juang terbang milik juara,positif,positif
skorer harap masuk skuad garuda,positif,positif
tarik main nya foto stadion pakai jersey tim nasional latar caption,positif,positif
yah,positif,positif
besok besok ngajak jerome cuy debar cuyyy,positif,positif
panen nih langgan bayar orang streaming resmi nonton piala asia bayar nonton nonton streaming ilegal sponsor judol,positif,positif
yuk cari tiket tim nasional indonesia vs filipina east tiket ktix bayar saat kirim ambil ragu dm ya tiket resmi amp asli trusted testi limpah cek profil dm or wa bio wts wtb informasi gelora bung karno,negatif,positif
wasit bangsat arhan tengok,negatif,negatif
kontroversi wasit indonesia vs uzbekistan cek var penalti langgar cek var goal indonesia anggap offside semangat tim nasional balik wasit tai,negatif,negatif
game over own goal arhan pratama bola ambil ernando arhan sepak bola masuk gawang duh indonesia vs uzbekistan,negatif,positif
proses tim nasional kembang bicara asean asia dunia lihat sepakbola kalahmenang terbang garuda,positif,positif
semangat indonesia juara nih lawan uzbekistan tim nasional piala asia banget nunggu jam mana nobar juara,negatif,positif
assalamualaikum king indonesia lagi di jalan semi final,positif,positif
elkan yuk kato epy kusnandar vina como jay idzes botak rizky ridho djarum venezia,positif,positif
jay idzes konfirmasi bela venezia laga final playoff seriea vs cremonense tanggal mei amp juni indonesia tanggal juni,negatif,negatif
ayo guys tunggu perintah warga negara berfikir kritis biar golong organisasi,positif,positif
cetak sejarah tim nasional kali masuk semifinal biasa nonton king indonesia selesai wel towal towel,negatif,positif
notice but tim kalah fase gugur detik kartu merah jepangiraq kl salah satu kartu merah yaa wallahualam,negatif,negatif
congratulations jepang brilliant saves kokubo mau nang mantap gagalin penalti uzbekistan,positif,positif
tenang masuk peringkat,positif,positif
justin hubner kabar clubtim platih negosiasi,positif,positif
bangga banget ngebuktiin bangkit laga pssi amp latih shin pr bikin team lap tara starting line sih semangat garuda muda,positif,positif
mentang siang thailand dikalahin indonesia si wasit dendam bjir,negatif,negatif
friendly match indonesia vs singapore bentuk main tim nasional putri ya penasaranbelum ikut coba deh nonton sempet live indosiar video wib,positif,positif
dark system lap kutu jerome wasit bobrok shen yinhao aryan param bubble beyond,negatif,negatif
informasi ig wasit ngab silaturahmi biar gimanapun terimakasih indonesia semifinal keren banget thank latih shin taeyong,positif,positif
titik bangga tembus semifinal lampau target good job garuda muda tegak kepala,positif,positif
assalamualaikum semi final,positif,positif
terima kasih tim bangga terimakasih staff latih latih shin,positif,positif
udha bgini salfok shayne tarik wkwk toktok nysabariah,positif,negatif
terima kasih juang tim nasional baik semangat,positif,positif
wts tiket tim nasional indonesia vs iraq juni available tix deret ktix eticket an pribadi dm details,negatif,negatif
ya asa dukung korea selatan pas gol batal var dicetakin kena kartu merah,positif,positif
mas tejo nathan tjoeaon talenta muda idola netizen indonesia,negatif,positif
pakai jersey tim nasional pj gubernur sulawesi selatan pj wali kota parepare nobar indonesia vs uzbekistan lapang andi makkasau,negatif,negatif
nice dream tim nasional indonesia,positif,positif
serang hadiah voucher penalti guinea,positif,negatif
ayo revisi uu jaksa,positif,positif
afc asi cup final goal uzbekistanjapan scorer f yamada,positif,positif
kapten tim nasional terima bonus universitas muhammadiyah surabaya ridho hadiah jersey,positif,positif
pesan wasit wakil netijen indonesia sabang merauke,negatif,negatif
laaahh nyalahin wasit shen yinhao main indonesia emang mending kaca bangkit semangat benah semangat indonesia,negatif,negatif
kasih foto nathan tjoe a on pakai ban kapten obat sakit hati plsss,negatif,positif
wasit e langsung ngungsi,positif,positif
nih juara jepang uzbekistan babak selesai score bosen banget nontonnya tahan samasama rapet susah tembus,negatif,positif
wts open war joki tiket tiket tim nasional indonesia vs irak all kategori biaya ktiket langsung pakai data minat dm langsung gc trusted,positif,positif
lihat tuh badan sempoyongan gampang siwer angin banget luu gokillll,positif,negatif
the bottom of negara asia buang beras negara semenanjing madanistan salam tapak kaki asia,negatif,positif
riski ridho pas kartu merah langsung nonton tim nasional indonesia struick komang keluarga apa putus wasit semangat,negatif,positif
margin tau margin nya tarik tolol,negatif,negatif
tega kepala garuda muda terima kasih juang malam kalah hormat optimis rebut peringkat piala asia esok kamis bangga dukung kalah ku dukung menang ku sanjung,negatif,positif
kah gol mauu towelllll puas kah maniezzzz buru istighfar moga laga semi final tobat ya towel,positif,positif
uzbekistan tambah gol pratama arhan own goal ayo semangat asa garuda uzbekistan indonesia,positif,positif
main shock latih shock tonton shock towel shick shack shock alhamdulillah indonesia menang,positif,positif
yah,positif,positif
qatar sepi tonton indonesia,negatif,negatif
claudia scheunemann gol jarak,positif,negatif
tiket qwc kualifikasi pildun indonesia vs iraq gelora bung karno juni tribunnya ultras garuda detail lihat bawah ya dm ig nya ygy,positif,positif
tim nasional indonesia kalah guinea playoff olimpiade garuda muda mupus harap tampil olimpiade foto dok pssi gtgt,negatif,negatif
shibal sekiya,positif,positif
ganti program tingkat kualitas liga segi manajemen,positif,positif
sty bilek mamam noh telor busuk bandara yaa nohh,negatif,positif
ivar geret lapang pindah ring tinju bang,negatif,positif
ahhhh sweet kali abang abangan tim nasional senior moga kembang yaaa garuda tercintaa,positif,positif
kandang tim nasional,negatif,positif
shin taeyong langsung siap tim nasional indonesia hadap kualifikasi piala dunia,positif,positif
pasca konser kelola gelora bung karno rumput stadion kondisi juni,positif,positif
tim nasional destroyed korea selatan shin tae yong hubner ernando arkhan struick this song tim nasional indonesia,negatif,negatif
yuk lurus berita,positif,positif
dear main latih dokter staf terima kasih bangga,positif,positif
coba lurus anjas asmara jepang korea ajar,positif,positif
tim nasional indonesia masuk dalam grup bb piala aff piala aff rencana tanggal november desember ketemu musuh bebuyutan vietnam nih,negatif,negatif
lepas main superior uzbek kali var hanyak tim nasional indonesia aktif uzbekistan alhasil putus amp rugi indonesia,negatif,negatif
indonesia vs uzbek wasit penuh kontraversi wasit sivakorn wasit shen jerome curse shen yinhao,negatif,negatif
tante inces kali merah nya keri,negatif,negatif
hee wasit shen yinhao rungokno mergo laku detik rabakal nonton film xxx seko negoromutitik ayoo misuhh,negatif,negatif
pov arkhan fikri alhamdulillah hujat indonesia arkhan manusia lega,positif,positif
indonesia semangat rebut tiga wasit china bos china podo ae nggateli,positif,positif
exlgbt jesus jakari s testimony via,positif,positif
did great guys masuk semifinal prestasi maju bangga lepas wasit jancok drama tai hebat sempat perebutin ticket olimpiade semangat,negatif,positif
asli loncat loncat malam rumah,positif,positif
jepang beat uzbekistan menang afc asi cup title here in doha malam ini,negatif,positif
tolong revisi uu jaksa,negatif,positif
berani nonton alhamdulillah hasil bahagia terima kasih main latih shin staff latih we did it asa juang lanjut,positif,positif
lapor media filipina spin juru taktik belgia pantau langsung main turun filipina karier jerman amerika serikat,positif,negatif
pssi umum daftar main tim nasional indonesia vs irak filipina elkan baggot panggil shin taeyong,negatif,negatif
besok kerja full senyum ngantuk ngantuk,negatif,positif
ready tiket idn vs iraq kategori upper minat dm pssi elkan reza artamevia selamat mas jeno sandra dewi fuji arhan nathan tjoe,positif,positif
ngantuk iya beneran dapur,positif,positif
tim nasional indonesia hadap tanzania laga uji coba jelang kualifikasi piala dunia zona asia gelar stadion madya jakarta more,positif,positif
sejarah terimakasih tim nasional indonesia,positif,positif
towel kecewa wkwkwk,positif,positif
bilang mati kau jepang barat,negatif,positif
besok jumat siang,positif,positif
menang jepang uzbek menang piala citra lolos,negatif,negatif
kasihan bat,positif,negatif
moga sempat nyala terima kasih garuda muda bangga,positif,positif
indonesia tanzania juni stadion madya,positif,positif
jepang cahaya asia sorry yee uzbekistan,negatif,positif
jual tiket indonesia vs iraq gelora bung karno pcs harga kpcs zona upper jual pulang kantor tau kick off jam,positif,positif
garuda pertiwi hasil kandas lawan singapura laga sahabat gelar stadion madya gelora bung karno jakarta laga selenggara selasa malam sudah skor indonesia yess girlsss,positif,positif
main bola main sinetron ya ko banyak drama,negatif,positif
cetak sejarha jepang raih gelar juara kalah uzbekistan final piala asia dramatis,positif,positif
garuda muda kecewa kecewa wasit shen yinhao semangat indonesia rebut rd,negatif,negatif
syukur capai tim nasional indonesia wasite dancuk jaran,positif,positif
garuda pertiwi hasil gembira claudio scheunemann dan kawan hasil menang telak singapura,positif,negatif
habis ng hype rl lihat wasit nya adil bukti kamera banget habis lihat tl x langsung tertawa deja vu posisi member lf curangin banyk kuat kuat army and me,positif,negatif
lelah hadap lawan posisi rangking fifa,negatif,positif
bahagia,positif,positif
kerja orang,positif,positif
